영업상태명,전화번호,지번주소,도로명주소,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),위생업태명,별점,리뷰개수,카테고리,메뉴
영업/정상,02 0965 6790,서울특별시 동대문구 이문동 305-59번지,서울특별시 동대문구 휘경로 12 (이문동),24시해장국,20200000000000.0,I,59:59.0,한식,205341.6738,454835.6676,한식,2.9,72,감자탕,"{'감자탕 (대)': '35,000', '감자탕 (중)': '30,000', '감자탕 (소)': '22,000', '뼈다귀찜 (대)': '38,000', '뼈다귀찜 (중)': '33,000', '뼈다귀찜 (소)': '26,000', '닭도리탕 (대)': '35,000', '닭도리탕 (중)': '30,000', '닭도리탕 (소)': '22,000', '뼈다귀해장국': '7,000'}"
영업/정상,02  957 3876,서울특별시 동대문구 이문동 288-4번지,서울특별시 동대문구 이문로 118 (이문동),광주회관,20200000000000.0,I,59:59.0,한식,205308.8444,454979.3372,한식,3.9,8,한식,"{'묵은지삼겹살': '15,000', '갈치조림': '30,000', '제육볶음': '11,000', '김치찌개': '8,000', '꼬막비빔밥': '13,000'}"
영업/정상,02 9662732,서울특별시 동대문구 이문동 255-251번지 1층,서울특별시 동대문구 신이문로 4 1층 (이문동),진성각,20200000000000.0,U,40:00.0,회집,205446.2949,455613.6139,회집,2.5,1,중화요리,{}
영업/정상,02 9634704,서울특별시 동대문구 이문동 289-1번지,서울특별시 동대문구 휘경로 9 (이문동),비스마르크,20200000000000.0,I,59:59.0,호프/통닭,205358.3425,454870.4161,호프/통닭,4.0,0,"호프,요리주점",{}
영업/정상,02 9657302,서울특별시 동대문구 이문동 289-1,서울특별시 동대문구 휘경로 9 (이문동),메이퀸,20200000000000.0,U,00:00.0,한식,205358.3425,454870.4161,,2.0,1,와인바,{}
영업/정상,02 9672384,서울특별시 동대문구 이문동 287-44번지,서울특별시 동대문구 이문로28길 8 (이문동),그린치킨닥터,20200000000000.0,I,59:59.0,한식,205247.9211,454828.8398,한식,2.6,14,닭요리,"{'양념스테이크': '6,000', '치킨스테이크': '6,000', '바베큐한마리': '14,000', '바베큐반마리': '11,000', '콘버터': '2,000'}"
영업/정상,02 9648857,서울특별시 동대문구 이문동 305-3번지,서울특별시 동대문구 휘경로2가길 1 (이문동),고흥소곱창,20200000000000.0,U,40:00.0,한식,205318.2373,454803.0843,한식,4.2,20,"곱창,막창","{'소곱창 (1인분)': '22,000', '소막창 (1인분)': '20,000', '소대창 (1인분)': '20,000', '부추생삼겹 (1인분)': '13,000', '냉삼겹 (1인분)': '7,500'}"
영업/정상,02 9599028,서울특별시 동대문구 이문동 175-20번지,서울특별시 동대문구 한천로 441 (이문동),아사원,20200000000000.0,I,59:59.0,한식,205885.31600000000,455303.3716,한식,5.0,2,중화요리,{}
영업/정상,02 9603701,서울특별시 동대문구 이문동 305-73번지 1층,서울특별시 동대문구 휘경로2길 3 1층 (이문동),청년다방,20200000000000.0,U,40:00.0,통닭(치킨),205336.4196,454824.8275,통닭(치킨),2.1,15,떡볶이,"{'통큰오짱 떡볶이': 0, '차돌 떡볶이': 0, '멘치카레밥': 0, '불향가득차돌덮밥': 0, '청년돈가스': 0, '꼬치어묵탕': 0, '찰순대': 0, '다모아튀김': 0}"
영업/정상,02 32952897,서울특별시 동대문구 이문동 288-55번지,서울특별시 동대문구 이문로28길 9 (이문동),신통일부대찌개,20100000000000.0,I,59:59.0,호프/통닭,205268.2082,454831.4639,호프/통닭,4.6,15,"찌개,전골","{'부대찌개': '6,500', '부대찌개 (1인분)': '8,000'}"
영업/정상,02 9592227,서울특별시 동대문구 이문동 305-61번지 (휘경로 14),서울특별시 동대문구 휘경로 14 (이문동(휘경로 14)),볼텍스,20100000000000.0,I,59:59.0,호프/통닭,205363.8173,454822.4609,호프/통닭,0.0,0,양식,{}
영업/정상,02 9649125,서울특별시 동대문구 이문동 305-64번지,서울특별시 동대문구 휘경로 18-1 지하1층 (이문동),비스트리트,20200000000000.0,U,40:00.0,정종/대포집/소주방,205394.3349,454804.2844,정종/대포집/소주방,0.0,0,한식,{}
영업/정상,,서울특별시 동대문구 이문동 288-54번지,서울특별시 동대문구 이문로28길 11 (이문동),술독에빠진기린,20200000000000.0,I,59:59.0,한식,205276.6836,454821.9387,한식,4.5,8,0,{}
영업/정상,02 9659295,서울특별시 동대문구 이문동 305-76번지 1층,서울특별시 동대문구 휘경로2길 5-6 1층 (이문동),밥한술,20200000000000.0,U,40:00.0,한식,205346.6186,454801.76,한식,0.0,1,"호프,요리주점","{'A set': '28,000', 'B set': '29,000', 'C set': '29,000', '두부김치': '12,000', '감자튀김': '7,000', '기운찬고기칼국수': '5,000', '김치찌개': '12,000', '닭갈비덮밥': '5,500', '닭볶음탕': '19,000', '닭한마리': '19,000', '반건조오징어': '8,000', '비빔칼국수': '5,000', '소고기덮밥': '6,500', '순살바삭치킨': '12,000', '어묵탕': '10,000', '왕만두': '3,000', '쭈삼떡': '14,000', '치즈스틱': '7,000', '치킨스테이크': '13,000', '통오징어튀김': '8,000', '한치': '8,000', '': ''}"
영업/정상,02 9680256,서울특별시 동대문구 이문동 292-170번지,서울특별시 동대문구 이문로30길 1 (이문동),장수식당,20200000000000.0,I,59:59.0,한식,205324.22600000000,454994.2255,한식,5.0,0,한식,{}
영업/정상,02 9666224,서울특별시 동대문구 이문동 305-78번지,서울특별시 동대문구 휘경로2길 5-10 (이문동),탐스,20200000000000.0,I,59:59.0,한식,205363.8296,454792.4796,한식,5.0,1,"호프,요리주점","{'모듬치즈&나쵸': '12,000'}"
영업/정상,02 9673110,서울특별시 동대문구 이문동 305-71번지,서울특별시 동대문구 휘경로2길 5-7 (이문동),도란도란곱창,20200000000000.0,I,59:59.0,한식,205358.1095,454812.1886,한식,2.9,50,"곱창,막창","{'야채곱창': '7,000', '순대볶음': '7,000', '오돌뼈': '7,000', '알곱창': '7,500', '계란말이': '8,000'}"
영업/정상,02 9692226,서울특별시 동대문구 이문동 305-84번지,,진미식당,20000000000000.0,I,59:59.0,한식,,,한식,5.0,0,한식,{}
영업/정상,02 9667672,서울특별시 동대문구 이문동 256-24번지,서울특별시 동대문구 이문로 187 (이문동),옛날칼국수,20000000000000.0,I,59:59.0,한식,205392.4694,455662.281,한식,5.0,4,국수,{}
영업/정상,,서울특별시 동대문구 이문동 305-75번지,서울특별시 동대문구 휘경로2길 5-4 (이문동),돼지왕,20200000000000.0,I,59:59.0,한식,205338.5698,454806.3761,한식,1.0,2,"육류,고기",{}
영업/정상,02 9595337,서울특별시 동대문구 이문동 288-44번지,서울특별시 동대문구 이문로28길 13 (이문동),아리랑동가스,20200000000000.0,I,59:59.0,경양식,205287.016,454810.8807,경양식,4.3,8,"돈까스,우동","{'마늘 돈까스': '5,500', '치즈 돈까스': '5,500', '치킨 까스': '5,500', '생선 까스': '6,000', '햄버그 스테이크': '6,500'}"
영업/정상,02 9637779,서울특별시 동대문구 이문동 288-43번지,서울특별시 동대문구 이문로28길 15 (이문동),세계로 식당,20200000000000.0,U,40:00.0,호프/통닭,205295.6859,454802.5512,호프/통닭,4.3,6,"호프,요리주점",{}
영업/정상,02  957 3835,서울특별시 동대문구 이문동 287-48번지,서울특별시 동대문구 이문로28길 10 1층 (이문동),외대철판마을,20200000000000.0,U,40:00.0,한식,205256.12400000000,454821.5751,한식,3.7,4,철판요리,"{'철판 삼겹살': '6,500', '철판 닭': '6,500', '철판 제육': '6,500', '철판 오징어': '8,000'}"
영업/정상,02 9692166,서울특별시 동대문구 이문동 325-12번지,서울특별시 동대문구 휘경로2길 36 1층 (이문동),미스사이공외대점,20200000000000.0,I,59:59.0,호프/통닭,205225.64,454709.0164,호프/통닭,4.0,3,베트남음식,{'분짜': 0}
영업/정상,02 9574938,서울특별시 동대문구 이문동 288-45,서울특별시 동대문구 휘경로 6-9 1층 (이문동),코코,20200000000000.0,U,09:00.0,경양식,205292.1489,454821.5558,,4.5,32,"초밥,롤","{'코코 특초밥': '14,900'}"
영업/정상,02 9571224,서울특별시 동대문구 이문동 287-39번지,서울특별시 동대문구 휘경로2길 16 1층 (이문동),(주)메이크샐러드,20200000000000.0,U,40:00.0,한식,205284.1692,454787.852,한식,3.5,32,양식,"{'수비드 닭가슴살': '5,800', '두부': '5,800', '로제 푸실리': '6,200', '그릴드 목살': '6,400', '훈제연어': '6,400'}"
영업/정상,02 9670485,서울특별시 동대문구 이문동 288-47번지,서울특별시 동대문구 휘경로 6-5 1층 (이문동),오뚜기부대찌개,20200000000000.0,I,59:59.0,한식,205302.9617,454842.394,한식,4.7,13,"찌개,전골","{'부대찌개(1인분)': '6,500'}"
